section_h1,section_h2,section_h3,content_type,text
What To Expect,,,p,"Everyone entering treatment receives a clinical assessment to determine the type of treatment that's the best fit. No one type of treatment is right for everyone; to work, the treatment needs to meet your individual needs."
What To Expect,,,p,"Although clinical assessment continues throughout a person's treatment, it starts at or just before a person's admission to a treatment program. All facilities in FindTreatment.gov offer assessment services."
What To Expect,,,p,"Medically supervised withdrawal (often called detoxification or detox) uses medication to help people withdraw from alcohol or drugs after using large amounts. Sometimes, withdrawal can be so severe that people hallucinate, have convulsions, or develop other dangerous conditions."
What To Expect,,,p,"Detox can take place on a regular medical ward of a hospital, in a specialized inpatient detoxification unit, or on an outpatient basis with close medical supervision. Detoxification may take several days to a week or more."
What To Expect,,,p,Social detoxification can provide the support and care for someone who doesn't need to be medically supervised during withdrawal. Sometimes social detoxification centers are part of a residential treatment program; other times they are separate facilities.
What To Expect,,,p,"Social detoxification centers are not hospitals and seldom use medication, but the person does stay there from several days to one week. A staff of nurses watches each person's medical condition closely, and counselors are available to help them through the most difficult parts of withdrawing from alcohol and drugs."
What To Expect,,,p,It is important to know that detoxification is not treatment ; it is a first step that can prepare a person for treatment.
What To Expect,,,p,"In most treatment programs, the main caregivers are specially trained individuals who are certified or licensed as substance use treatment counselors ."
What To Expect,,,p,"Most treatment programs assign patients to a treatment team of professionals. Depending on the type of treatment, teams can be made up of social workers, counselors, doctors, nurses, psychologists, and psychiatrists."
What To Expect,,,p,"Be honest during the assessment; the counselor needs to get a full picture of the problem to plan and help implement the most effective treatment. You may feel embarrassed answering some of these questions or have difficulty completing the interview, but remember: the counselor is there to help."
What To Expect,,,p,"After the assessment, the counselor will work with you (and possibly your family members) to develop a treatment plan . This plan lists problems, treatment goals, and ways to meet those goals."
What To Expect,,,li,Licensed and accredited . All facilities in FindTreatment.gov are licensed by the state they're in.
What To Expect,,,li,Medication . A facility should only use FDA-approved medication in treating alcohol or opioid use. There are no FDA-approved medications to help prevent relapse from other problem substances.
What To Expect,,,li,"Evidence-based practices . Quality programs should offer a full range of services that are accepted as effective in treatment and recovery, including: Motivational therapy Cognitive behavioral therapy (CBT) Drug and alcohol counseling and education Peer support Care for or help accessing care for other physical and mental health needs."
What To Expect,,,li,Motivational therapy
What To Expect,,,li,Cognitive behavioral therapy (CBT)
What To Expect,,,li,Drug and alcohol counseling and education
What To Expect,,,li,Peer support
What To Expect,,,li,Care for or help accessing care for other physical and mental health needs.
What To Expect,,,li,Families . Family Members should be included in the treatment process. They have an important role in understanding the impact of addiction and being supportive in recovery.
What To Expect,,,li,"Support beyond substance use . For many, addiction is a chronic disease that needs ongoing support. A quality program treats the whole patient for the long term. This can include ongoing counseling or recovery coaching, and help meeting basic needs like sober housing, employment support, and continued family involvement."
What To Expect,,Sign Up for SAMHSA Email Updates,p,"To sign up for updates or to access your subscriber preferences, please enter your contact information."
What To Expect,,Sign Up for SAMHSA Email Updates,li,Espanol
What To Expect,,Sign Up for SAMHSA Email Updates,li,Tieng Viet
What To Expect,,Sign Up for SAMHSA Email Updates,li,Tagalog
What To Expect,,Sign Up for SAMHSA Email Updates,li,Kreyol Ayisyen
What To Expect,,Sign Up for SAMHSA Email Updates,li,Francais
What To Expect,,Sign Up for SAMHSA Email Updates,li,Polski
What To Expect,,Sign Up for SAMHSA Email Updates,li,Portugues
What To Expect,,Sign Up for SAMHSA Email Updates,li,Italiano
What To Expect,,Sign Up for SAMHSA Email Updates,li,Deutsch
What To Expect,,Sign Up for SAMHSA Email Updates,li,English
What To Expect,,Sign Up for SAMHSA Email Updates,li,Home
What To Expect,,Sign Up for SAMHSA Email Updates,li,Site Map
What To Expect,,Sign Up for SAMHSA Email Updates,li,Viewers & Plugins
What To Expect,,Sign Up for SAMHSA Email Updates,li,Budget and Performance
What To Expect,,Sign Up for SAMHSA Email Updates,li,Accessibility
What To Expect,,Sign Up for SAMHSA Email Updates,li,Plain Language
What To Expect,,Sign Up for SAMHSA Email Updates,li,Privacy Policy
What To Expect,,Sign Up for SAMHSA Email Updates,li,Disclaimer
What To Expect,,Sign Up for SAMHSA Email Updates,li,Freedom of Information Act
What To Expect,,Sign Up for SAMHSA Email Updates,li,Nondiscrimination Notice
What To Expect,,Sign Up for SAMHSA Email Updates,li,EEO/No FEAR Act Data
What To Expect,,Sign Up for SAMHSA Email Updates,li,Office of the Inspector General
What To Expect,,Sign Up for SAMHSA Email Updates,li,U.S. Department Health & Human Services
What To Expect,,Sign Up for SAMHSA Email Updates,li,Vulnerability Disclosure Policy
What To Expect,,Sign Up for SAMHSA Email Updates,p,Have a question about government service? Contact USA.gov .
What To Expect,,Sign Up for SAMHSA Email Updates,p,"SAMHSA's mission is to lead public health and service delivery efforts that promote mental health, prevent substance misuse, and provide treatments and supports to foster recovery while ensuring equitable access and better outcomes."
What To Expect,,Sign Up for SAMHSA Email Updates,p,"5600 Fishers Lane  Rockville, MD 20857 1-877-SAMHSA-7 ( 1-877-726-4727 )"
